rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout,late,rented_again
553520,404719,mobile,ended,370.0,,,Late more than 180 min,come later,Parking
553587,317770,connect,ended,7.0,,,Late under 30 min,come later,Parking
553635,313242,mobile,ended,384.0,,,Late more than 180 min,come later,Parking
553715,376086,mobile,ended,39.0,,,Late 30-60 min,come later,Parking
553725,371010,mobile,canceled,,,,Early,come earlier,Parking
553741,317303,mobile,ended,65.0,,,Late 60-120 min,come later,Parking
553856,308038,connect,ended,2.0,,,Late under 30 min,come later,Parking
554119,334118,mobile,ended,,,,Early,come earlier,Parking
554218,376087,mobile,canceled,,,,Early,come earlier,Parking
554226,412455,mobile,ended,-23.0,,,Early,come earlier,Parking
554479,379174,mobile,ended,-4.0,,,Early,come earlier,Parking
554483,175612,mobile,canceled,,,,Early,come earlier,Parking
554562,326551,connect,ended,-29.0,,,Early,come earlier,Parking
554879,379889,mobile,ended,14.0,,,Late under 30 min,come later,Parking
554925,350873,connect,ended,-48.0,,,Early,come earlier,Parking
554973,373856,mobile,ended,21.0,,,Late under 30 min,come later,Parking
555082,336349,connect,ended,-22.0,,,Early,come earlier,Parking
555196,342452,connect,ended,-333.0,,,Early,come earlier,Parking
555334,340616,connect,ended,8.0,,,Late under 30 min,come later,Parking
555437,413426,mobile,ended,-93.0,,,Early,come earlier,Parking
555443,413139,mobile,canceled,,,,Early,come earlier,Parking
555444,203060,mobile,ended,38.0,,,Late 30-60 min,come later,Parking
555713,402559,mobile,ended,33.0,,,Late 30-60 min,come later,Parking
555731,407683,mobile,ended,-14.0,,,Early,come earlier,Parking
555804,317237,mobile,canceled,,,,Early,come earlier,Parking
555851,392479,mobile,ended,,,,Early,come earlier,Parking
555863,394801,mobile,ended,40.0,,,Late 30-60 min,come later,Parking
555908,374741,connect,ended,-75.0,,,Early,come earlier,Parking
555948,209159,mobile,ended,134.0,,,Late 120-180 min,come later,Parking
555977,334648,connect,canceled,,,,Early,come earlier,Parking
556038,282159,mobile,ended,-40.0,,,Early,come earlier,Parking
556044,382059,mobile,canceled,,,,Early,come earlier,Parking
556076,250644,mobile,canceled,,,,Early,come earlier,Parking
